திருக்குற்றாலக் குறவஞ்சி சொல்லடைவு
ஊர்குருவிகு - 259.1 
ஊருக்கு - 371.1 
ஊருணிப்பற்றும் - 273.2 
ஊரும் - 238.2; 239.2 
ஊரையும் - 70.1 
ஊன்றும் - 160.3 
எக்கலாதேவி - 223.15 
எக்குறி - 115.40 
எங்கள் - 24.2; 52.3; 71.3; 132.2; 136.2; 140.2; 144.2; 148.2; 157.4; 158.4; 159.4; 160.4; 161.4; 167.1; 175.2; 196.3; 302.3 
எங்களை - 197.4 
எங்கு - 53.2 
எங்கும் - 36.1; 50.2; 125.1; 133.2; 144.1; 168.1; 174.2; 196.1; 266.4; 303.4; 345.1 
எங்கே - 344.3; 355.2,2; 384.1 
எங்கேதான் - 342.1,2 
எச்சரிக்கை - 1.2 
எட்டாமல் - 313.3 
எட்டி - 386.2 
எட்டிப்பார்க்கும் - 35.1 
எட்டு - 309.1; 375.1 
எட்டுத் - 222.1 
எடுத்த - 22.1; 330.2 
எடுத்து - 37.3; 38.1; 61.1; 134.1; 250.3; 255.2 
எடுத்தெடுத்து - 12.4 
எடுப்பார் - 58.3 
எண்ணவேண்டாம் - 66.1 
எண்ணாதே - 289.3 
எண்ணிக்கொண்டு - 259.1 
எண்ணிலா - 67.2 
எண்ணூற்றெண்பத்தேழு - 196.1 
எத்திசைப்பட்ட - 300.1 
எதிர் - 267.4; 320.4; 329.2 
எதிர்கொண்டாளே - 48.4 
எதிர்த்தபேரை - 199.2 
எதிர்போய் - 56.2 
எந்த - 128.4; 232.2 
எந்தை - 146.1 
எந்தையார் - 282.2 
எப்படி - 393.2 
எம் - 304.2 
எமது - 72.4 
எய்தினால் - 288.2 
எரு - 64.1 
எல் - 146.1 
எல்லாம் - 53.2; 55.3; 58.3; 90.1; 151.2; 193.3; 236.1; 246.2; 259.2; 265.2; 267.2; 278.4; 279.3; 280.4; 281.4; 282.4; 283.4; 284.4; 285.4; 288.2; 289.2; 301.4; 304.4; 307.2; 309.8; 313.4; 381.1; 382.2; 384.1,2; 393.1 
எல்லார்க்கும் - 104.2 
எலாம் - 9.4; 69.1; 115.27; 158.2; 292.2; 310.3,4; 332.1,2,2,3,4; 338.1; 403.1 
எலிகளை - 258.4 
எலியனை - 261.1 
எவ்வாறு - 325.2 
எவர் - 67.2; 395.1,1 
எவனநாயகர் - 6.1 
எழில் - 36.3; 118.1 
எழுத்த - 8.2 
எழுத்தினாள் - 35.4 
எழுதி - 35.4; 116.2 
எழுதிக் - 115.19 
எழுதிய - 120.4 
எழுதும் - 35.4 
எழுந்த - 4.1,2,2,3,3,4,4; 26.2; 122.3 
எழுந்து - 13.4 
எழும்பி - 131.1 
எள் - 209.2 
எள்ளளவு - 77.3 
எறிக்கும் - 137.1 
எறிந்த - 186.1 
எறிந்ததற்கோ - 64.2 
எறிந்து - 130.1 
என் - 52.1; 68.4; 73.4; 76.4; 78.2; 83.1; 91.3; 108.1; 194.1,3; 224.3; 241.1; 275.4; 310.3; 313.1,4; 318.2; 325.1; 327.1; 329.2; 330.4; 333.1; 340.4; 342.1; 349.1; 396.1 
என்படும் - 41.3,3 
என்பது - 55.2; 67.3 
என்பார் - 17.1,2; 18.1,2; 19.2; 23.2; 24.2; 25.2; 26.2; 27.2; 57.1,2,3,4,4,4; 58.1,1,2,2,2,4; 60.2,2 
என்பாள் - 331.2 
என்ற - 330.1 
என்றன் - 63.3; 200.1 
என்றாய் - 237.2; 241.2 
என்றால் - 65.3; 243.1,2 
என்றாளே - 128.4 
என்று - 15.4; 40.1,1,2,3; 41.3; 53.2; 59.2; 67.2; 89.2; 90.4; 91.4; 125.2; 137.2; 154.1; 157.1; 232.2; 237.1; 244.2; 251.3; 289.3; 318.1; 329.1; 330.3,3,4; 397.2 
என்றும் - 120.4; 176.1 
என்றே - 66.1; 222.3; 313.2; 315.1 
என்ன - 1.4; 26.2; 27.1; 57.3; 58.1; 65.4; 68.1,1,1; 80.4; 90.2; 127.2; 199.1; 309.2,4; 319.1,2; 338.4 
என்னடி - 361.2,2; 363.2,2 
என்னளவும் - 67.3 
என்னில் - 86.4 
என்னுடன் - 355.1 
என்னுடைய - 146.2 
என்னும் - 245.1; 248.1; 285.1 
என்னை - 307.4; 318.1; 336.2; 337.2; 393.2 
என்னைக் - 237.1 
என்னைச் - 316.3 
என - 7.2,3; 10.1; 12.4; 21.2; 42.3; 47.3; 81.2; 119.2,2; 120.1; 133.1; 141.2; 172.1; 191.1; 223.31; 266.2 
எனக்கு - 85.4; 128.4; 145.1; 153.4; 198.4; 223.6; 239.1; 319.3 
எனது - 84.1,3; 309.1; 352.2 
எனவே - 43.2; 224.3; 402.2 
எனில் - 111.2; 113.2 
எனினும் - 201.1 
எனும் - 69.3; 119.1; 141.1; 173.1; 253.4; 279.3; 348.2; 400.2 
எனை - 388.2 
ஏ - 330.2 
ஏகனை - 261.1 
ஏகாந்த - 107.2; 309.2 
ஏகிய - 159.3 
ஏகினார் - 290.2 
ஏங்க - 161.4 
ஏசல் - 46.1 
ஏசுவாள் - 69.3 
ஏடு - 267.4 
ஏதடி - 375.2,2; 380.1 
ஏது - 17.2,2; 58.2; 351.2; 365.2,2; 371.2,2; 379.1 
ஏதோ - 58.2; 82.4; 307.4 
ஏந்தி - 114.3; 163.3 
ஏந்திய - 115.10 
ஏரி - 115.5 
ஏரிவாய் - 272.3 
ஏவரும் - 85.3 
ஏவிக்கொண்டு - 261.1 
ஏவினானே - 303.4; 352.1 
ஏவும் - 92.2 
ஏழு - 72.1; 94.1 
ஏழைபங்கர் - 217.1 
ஏற்கவே - 12.1 
ஏற்கும் - 221.2 
ஏற்ற - 251.3; 269.1 
ஏற்றமாம் - 374.1 
ஏற்றிய - 267.4 
ஏற்றுக்கொண்டார் - 291.4 
ஏற - 15.4 
ஏறாத - 300.1 
ஏறி - 4.3; 33.2; 49.2; 155.3; 263.4; 288.2; 300.1 
ஏறிய - 9.1 
ஏறியவள் - 297.3 
ஏறியே - 6.2 
ஏறிவரும் - 233.1 
ஏறு - 1.4 
ஏறும் - 1.2; 15.1,2,2,3; 212.1,4; 227.1 
ஏறுவார்க்கோ - 78.4 
ஏறுவேன் - 199.2 
ஏன் - 63.2; 70.3; 317.3; 319.3 
ஏன_உருவார்க்கும் - 190.1 
ஏனை - 13.4 
ஐ - 268.4 
ஐந்து - 48.3 
ஐயர் - 211.1; 274.1 
ஐயன் - 56.3 
ஐயே - 264.1,1; 265.1; 269.4; 270.1,1; 271.1; 276.1,1; 277.1; 304.4; 305.4; 310.4; 311.1,1; 312.1; 336.2; 339.4; 340.4; 342.1,2 
ஐயோ - 58.1; 307.4; 337.2 
ஐவர்நாயகன் - 12.3 
ஒக்க - 79.2; 391.1 
ஒக்கும் - 243.1,2; 244.1 
ஒட்டகம் - 262.1 
ஒட்டினால் - 301.3 
ஒட்டு - 301.3 
ஒடிக்க - 302.4 
ஒடித்து - 134.2 
ஒடுங்க - 162.1 
ஒடுங்கி - 314.3 
ஒத்த - 14.2; 38.2; 309.5; 332.3 
ஒத்திருக்கும் - 170.2 
ஒதுக்கி - 331.1 
ஒதுக்கிடம் - 391.1 
ஒதுங்கி - 99.1 
ஒய்யாரமாக - 31.2 
ஒய்யாரி - 42.4; 43.4 
ஒர் - 84.2 
ஒரு - 8.1,1,1,2,3; 9.1; 16.1,2; 20.1,1; 22.1,2; 23.2; 31.1; 34.2; 35.1; 37.1,4; 38.1; 42.2; 48.3,3; 50.3,4; 55.1; 69.4; 70.2; 72.4; 80.3; 81.4; 90.3; 95.1; 115.23,23,24,24; 119.2; 121.1; 149.1,1; 151.1; 156.3; 163.3; 165.2; 197.1; 198.4; 243.1; 248.1; 257.1,1; 274.1; 290.4; 291.2,2; 297.4; 300.4; 307.4; 309.1; 313.1,2; 336.2; 400.1; 401.1 
ஒருக்கால் - 330.4; 353.3 
ஒருக்காலே - 52.4 
ஒருகால் - 397.2 
ஒருத்தி - 83.2 
ஒருநாளுக்கொருநாளில் - 96.1 
ஒருபுறம் - 10.4,4 
ஒருமிப்பாய் - 314.1 
ஒருவர் - 94.1; 223.28 
ஒருவருக்கும் - 340.3 
ஒருவன் - 266.2 
ஒல்லார் - 284.2 
ஒல்லி - 119.3 
ஒல்லும் - 36.3 
ஒலி - 171.2 
ஒழிக்கப்பண்ணுவேன் - 340.2 
ஒழித்த - 340.2 
ஒழுகு - 72.3 
ஒழுகும் - 131.1 
ஒழுங்கு - 36.4 
ஒள்ளிய - 77.4 
ஒளி - 9.3 
ஒளிபோட்டு - 253.3 
ஒளிவில் - 47.1 
ஒளிவு - 47.1 
ஒன்பது - 93.2 
ஒன்றில் - 120.3,3 
ஒன்று - 155.2 
ஒன்றுபோடாமல் - 230.1 
ஓங்க - 197.2 
ஓங்கவே - 9.4 
ஓங்கிப் - 39.3 
ஓங்கிய - 115.9; 158.2; 269.3 
ஓங்கும் - 157.4; 410.3 
ஓட்டத்தில் - 302.4 
ஓட - 41.2; 162.1 
ஓடத் - 341.1 
ஓடி - 13.3; 139.1 
ஓடிப்போகுது - 299.4 
ஓடிப்போன - 315.3 
ஓடும் - 133.2; 173.2 
ஓடுவார் - 20.2 
ஓமலூர் - 284.3 
ஓர் - 62.1; 318.1; 330.2 
ஓரடி - 79.2 
ஓராயிரம் - 115.9; 269.3 
ஓலம்செய்தே - 268.3 
ஓலமிடும் - 251.3 
ஓவியம் - 31.2 
கக்கத்தில் - 247.2 
கக்கா - 251.3 
கங்கணம் - 319.3 
கங்கணம்கட்டி - 307.3 
கங்காநதி - 269.3 
கங்காளர் - 343.1 
கங்கை - 81.2; 167.2; 173.1; 266.2 
கங்கைக்கொழுந்து - 74.1 
கச்சாய் - 286.4 
கச்சு - 36.2 
கச்சை - 250.1; 252.3 
கச்சைகட்டிக்கொண்ட - 278.3 
கசந்தேனே - 55.3 
கஞ்சயோனி - 159.2 
கஞ்சனை - 112.1 
கஞ்சி - 200.2 
கட்ட - 352.3 
கட்டழகி - 275.4 
கட்டளை - 284.1,1,2,2,3,4; 285.2,3,4,4 
கட்டளைப்பற்று - 281.4 
கட்டளையும் - 305.2 
கட்டான - 262.2 
கட்டி - 50.1,1; 223.22; 278.1,1,2,2,2; 281.1,1,2,3,3; 286.4; 309.7 
கட்டிக்கொண்டே - 386.1 
கட்டித் - 281.1 
கட்டிப் - 281.2 
கட்டிய - 365.1 
கட்டியக்காரன் - 1.4; 3.2 
கட்டிலோ - 223.22 
கட்டின - 282.1 
கட்டினால் - 115.30 
கட்டும் - 37.2; 281.4 
கட்டுற்ற - 310.3 
கட - 408.1 
கடகம் - 36.1; 214.1 
கடத்திவிட்டால் - 341.1 
கடந்தவர்கள் - 99.1 
கடந்தால் - 171.1 
கடல் - 34.3; 38.1; 172.1; 348.2 
கடலை - 155.1 
கடவுள் - 157.4 
கடவுளே - 223.4 
கடன்_அனையான் - 304.2 
கடிக்குது - 307.4 
கடித்திடும் - 224.1 
கடித்து - 359.2,2 
கடினம் - 351.3 
கடுக்கையார் - 317.1 
கடை - 98.2 
கடைக்கண்ணால் - 115.28 
கண் - 22.2; 30.1; 44.4; 52.1; 71.2; 100.1; 115.15; 116.2; 127.1; 242.1; 252.2; 275.4; 309.7; 338.3 
கண்கட்டுவித்தைகளும் - 339.3 
கண்கள் - 335.1 
கண்காட்டிவிட்ட - 340.4 
கண்ட - 159.1; 228.2; 348.1 
கண்டவர் - 347.4 
கண்டவுடனே - 52.2 
கண்டாடி - 354.3 
கண்டாய் - 53.1,1; 66.2; 82.2; 94.2; 96.2; 100.2; 105.2; 181.2; 183.2; 186.2; 393.2 
கண்டாயே - 81.4; 341.4 
கண்டால் - 51.2; 54.4; 56.1 
கண்டாளோ - 344.3 
கண்டான் - 308.4 
கண்டானே - 320.4; 347.4 
கண்டிடம் - 309.8 
கண்டிய - 368.1 
கண்டு - 41.2,3; 42.1; 55.1; 74.1,3; 75.1; 76.1,2,3; 77.1,3; 79.4; 128.2; 206.1; 231.1; 232.2; 234.1; 250.2; 314.3; 329.3; 330.3; 345.2; 348.3 
கண்டுகண்டு - 9.4 
கண்டுகொண்டான் - 272.3 
கண்டும் - 63.4 
கண்டேன் - 180.2 
கண்டேனே - 77.2 
கண்ணாலே - 29.1 
கண்ணான - 184.2 
கண்ணி - 250.3; 251.3; 253.2; 256.3; 287.1,1; 288.1; 292.3; 303.4; 310.3; 314.3 
கண்ணிக்கு - 302.3 
கண்ணிக்குள்ளே - 301.2,4 
கண்ணியர் - 302.2 
கண்ணியும் - 259.1; 260.1; 313.4 
கண்ணியை - 293.1; 294.1; 295.1; 296.1; 300.2; 314.1; 322.1; 323.1 
கண்ணில் - 31.1; 64.3; 70.1; 309.7 
கண்ணிலும் - 313.4 
கண்ணிலே - 62.3 
கண்ணிவைத்து - 307.3; 310.1 
கண்ணீர் - 109.3 
கண்ணுக்கு - 22.1; 330.2 
கண்ணுகு - 30.1 
கண்ணுதலை - 30.1 
கண்ணும் - 316.1 
கண்ணே - 349.1 
கண்ணைவிட்டே - 73.4 
கண்பாராய் - 58.4 
கணக்கன்பற்றிலும் - 273.4 
கணக்குடனே - 306.1 
கணக்கும் - 306.1,4 
கணபதி - 208.1 
கணாள் - 158.4 
கணை - 15.3; 68.1; 335.1; 352.1 
கத்தும் - 34.4 
கதலி - 37.2; 115.7 
கதைகள் - 61.1 
கதையும் - 258.3 
கந்தனே - 223.4 
கப்பல் - 202.1 
கபாலர் - 268.4 
கம்புள் - 267.1 
கமலத்தோன் - 12.2 
கமலை - 159.2 
கமழ் - 120.2 
கமன - 130.2 
கமனிக்குமவரும் - 115.28 
கமுகிலே - 375.1 
கமுகை - 35.3 
கயல் - 174.2 
கயிலாசகிரி - 140.1 
கயிலாயம் - 170.2 
கயிலை - 141.1; 163.4 
கர்த்தர் - 224.1; 297.1; 304.1; 343.1 
கரங்கள் - 39.3 
கரடி - 251.2 
கரம் - 4.2; 8.1,1,1,2; 43.2; 114.3 
கரம்குவிப்பாய் - 210.1 
கரி - 177.1 
கரிகுருவிகு - 260.1 
கரிகூட - 163.3 
கரியுதே - 60.2 
கரியை - 408.1 
கரு - 22.1; 289.3 
கருகுதே - 60.2 
கருங்கண்ணாள் - 68.3 
கருணை - 12.2; 18.1 
கருத்தர் - 36.3 
கருத்து - 54.2; 72.4; 224.2; 316.3 
கருதி - 193.3 
கருதிய - 112.2 
கரும் - 100.1 
கரும்பு - 34.3; 68.1; 157.1 
கரும்பை - 325.3 
கருமம் - 82.4 
கருவம் - 34.2 
கருவமும் - 115.25 
கருவை - 285.2 
கருவைநல்லூர் - 321.1 
கரை - 348.2 
கரையப்பண்ணுவேன் - 340.1 
கரையா - 109.3 
கல் - 302.4 
கல்லு - 36.1 
கல்லும் - 36.3 
கல்வி - 119.4; 304.1 
கல்விமான் - 207.2 
கலக - 15.3; 340.4 
கலகத்தில் - 313.3 
கலகமூட்டிப் - 28.2 
கலங்கி - 308.1 
கலந்த - 293.1 
கலந்து - 40.2; 173.2 
கலவிக்கு - 198.1 
கலவையோ - 223.20 
கலாவினாள் - 61.4 
கலிகளும் - 258.3 
கலிங்க - 115.33 
கலின்கலின் - 40.1 
கலை - 408.1 
கலைக்க - 339.2 
கலைந்தது - 41.2 
கலைந்து - 299.4 
கலையும் - 28.1 
கலையை - 76.2 
கவண்டன் - 260.2 
கவளம் - 137.2 
கவன - 6.2 
கவனசித்தர் - 170.1 
கவிக்கும் - 115.14 
கவிகள் - 129.2 
கவிகை - 11.2 
கவிழ்த்து - 294.1 
கவிழ்ந்தாள் - 245.2 
கவிழ்வார் - 20.2 
கழங்கு - 133.1 
கழற்றி - 314.3 
கழிநீராய் - 173.2 
கழுத்தில் - 50.1 
கழுத்தின் - 207.2 
கழுத்தினாள் - 35.3 
கழுநீராய் - 315.2 
கழுவேற்ற - 267.3 
கள் - 297.1; 354.3; 390.2 
கள்வன் - 290.4 
கள்ளர் - 302.1 
கள்ளி - 236.2; 242.2; 318.1; 345.4 
கள்ளிகுளம் - 303.2 
கள்ளிபூ - 378.1 
கள்ளும் - 346.3 
கள்ளை - 317.1 
களப - 223.20 
களவுபோனதுவோ - 223.24 
களாக்காடு - 321.3 
களி - 11.1 
களைப் - 58.1 
கற்பித்த - 316.3 
கற்பூரக்கால்பற்றும் - 279.4 
கற்ற - 180.3 
கறி - 301.4 
கறுத்தேனே - 76.4 
கறுப்பழகும் - 54.3 
கறுப்பா - 223.12 
கறுப்பாரை - 76.3 
கறுப்பான - 155.1 
கறுப்பில் - 333.1,1; 334.1 
கறுப்பும் - 207.2 
கன்னங்கரிய - 122.2 
கன்னடம் - 115.33 
கன்னல்_வேளுக்கு - 157.4 
கன்னலில் - 161.1 
கன்னி - 115.7; 204.1; 223.28; 237.1; 402.1 
கன்னிகை - 80.3 
கன்னிமாடம் - 348.4 
கன்னிமார்கள் - 15.2 
கன்னியர் - 28.2 
கன்னியரும் - 80.2 
கன்னியை - 266.1 
கன - 10.1; 119.3; 223.12 
கனக - 11.1; 141.2 
கனத்து - 383.2 
கனம் - 41.1 
கனி - 54.1; 129.1; 156.2; 217.3 
கனிகளுக்கு - 129.2 
கனிய - 329.4 
கனியாய் - 198.3 
கனியில் - 54.2 
கஸ்தூரி - 116.1 
கஸ்தூரிப் - 275.2 
கஸ்தூரியோ - 223.20 
கா - 115.17; 308.1 
காக்க - 278.2 
காக்கவே - 12.2 
காக்கும் - 221.1 
காக்கை - 267.1; 289.3 
காக்கையும் - 293.2,2 
காகங்கள் - 314.2 
காகம் - 50.2; 139.2; 235.1 
காகமும் - 205.1 
காங்கேயன் - 272.2; 305.2 
காசலை - 319.3 
காசி - 320.1 
காசு - 301.2 
காஞ்சி - 320.1 
காட்டாதது - 309.4 
காட்டாய் - 212.4; 213.1,2; 214.1,2; 215.1,2; 216.2; 339.4; 340.4 
காட்டி - 28.2,4; 90.1; 339.3 
காட்டில் - 308.2 
காட்டிவிட்டால் - 309.6 
காட்டு - 153.2 
காட்டுக்கும் - 271.1 
காட்டுதற்கே - 212.4 
காட்டும் - 4.2; 153.1,1,2; 167.1; 309.3,5 
காட்டுவாயே - 318.4 
காட்டுவானேன் - 153.2 
காட்டுவிக்கும் - 338.3 
காட்டுவேனே - 319.4 
காடு - 13.3; 139.1; 313.4 
காடுகட்டிப் - 50.2 
காடுகட்டு - 339.3 
காடும் - 121.1 
காடுவெட்டிப்பற்று - 272.1 
காடை - 267.1 
காண் - 57.2; 69.4; 71.1; 79.2; 104.2; 184.2; 190.2; 191.2; 206.2; 235.2; 240.2; 247.1; 379.2; 382.2 
காண்பது - 161.1,1,2,2,3,3,4; 162.1,1,2,2,3,3,4 
காண்பவர்க்கு - 384.2 
காண - 15.1; 266.3 
காணகிலேனே - 325.4 
காணவேபோறேன் - 246.2 
காணாமல்போன - 347.4 
காணிமலை - 145.2 
காணுதே - 228.2 
காணுமடா - 335.1 
காணேன் - 65.3; 322.4; 323.4 
காணேனே - 55.4; 327.1,1 
காணொணாதால் - 92.3 
காத்திருக்கும் - 100.2; 170.2 
காத்து - 115.8 
காதர் - 153.3 
காதல் - 255.1; 285.1; 348.2 
காதலாய் - 307.3 
காதலோ - 351.3 
காதழகும் - 275.3 
காதில் - 377.1 
காதும் - 54.4 
காந்திக்காந்தி - 62.3 
காந்தியாட்டம் - 64.4 
காந்துவாருடன் - 62.3 
காம - 38.2; 83.2; 122.2; 235.2; 308.3; 316.4; 324.1; 328.1; 334.1; 339.4; 350.2 
காமத் - 37.1 
காமத்தால் - 308.1; 317.1 
காமத்துரை - 154.1 
காமப் - 57.3 
காமம் - 387.1 
காமவேள் - 28.2 
காமன் - 44.1 
காமனார் - 188.2 
காமனுக்கும் - 402.1 
காமனுகா - 15.2 
காமனை - 112.1; 198.1 
காமி - 237.2 
காமித்த - 223.28 
காமுகர் - 301.2 
காய்ச்சல் - 235.2,2,2 
காய்ச்சலும் - 232.1 
காய்வாய் - 66.4 
காயங்குளத்தாரும் - 376.1 
காயசித்தி - 130.2 
காயம் - 314.3 
காயலாமோ - 63.4 
காயலார் - 374.1 
கார் - 1.4; 71.1; 193.3; 272.1; 288.1 
கார்காலம் - 155.4 
காரண - 112.2 
காராடும்கண்டர் - 331.4 
காராளன் - 305.2 
காரிய - 331.4 
காரியம் - 358.1 
காரை - 155.1 
கால் - 15.2; 186.1; 262.1; 303.1,1,1; 330.4 
கால - 223.12 
காலத்தில் - 157.3 
காலம் - 93.2; 115.37; 126.1; 166.2; 315.3 
காலமும் - 94.1; 102.2 
காலால் - 302.3 
காலாழி - 368.2,2 
காலில் - 48.1 
காலிலே - 365.1 
காலுக்கு - 359.1 
காலும் - 131.2,2 
காவலர் - 110.2 
காவி - 303.2 
காவியே - 309.7 
காவில் - 352.2 
காவினில் - 254.2 
காவுக்கும் - 271.1 
காழி_மகனார்க்கும் - 186.2 
காளி - 223.11 
காற்றுக்கு - 90.3 
கான் - 212.4 
கான - 188.1; 242.2; 279.4 
கானவர் - 289.3 
கானவர்கள் - 130.1; 167.1 
கானாங்கோழிக்கு - 260.1 
கிடக்க - 286.4 
கிடக்கமாட்டாள் - 344.4 
கிடக்கினும் - 36.2 
கிடக்குதடா - 360.2,2 
கிடக்கும் - 25.1 
கிடக்குமோ - 383.2 
கிடத்துவார் - 61.2 
கிடந்தது - 314.3 
கிடந்திலனே - 286.4 
கிடந்து - 286.3; 330.4 
கிடப்பது - 314.2 
கிடப்பானேன் - 359.2,2; 367.2,2 
கிடுகிடென - 251.2 
கிண்கிணி - 162.3 
கிம்புரியின் - 134.2 
கிரி - 122.1; 266.1 
கிருபை - 299.2 
கிருஷ்ணன் - 284.3 
கிழக்கு - 4.4 
கிழங்கு - 134.1 
கிழமை - 176.2 
கிள்ளி - 134.1 
கிள்ளித்தா - 202.2 
கிள்ளை - 154.3; 297.4 
கிள்ளைகளும் - 100.1 
கிள்ளைமொழி - 297.4 
கிள்ளையும் - 268.2 
கிளத்துவாயே - 180.4 
கிளுவையில் - 278.4; 280.1 
கிளை - 180.4; 181.1; 192.1 
கிறுகிறுப்படி - 236.2 
கிறுகிறுப்பும் - 231.2 
கிறுகிறுப்பை - 236.1 
கின்னரம் - 11.1; 255.2 
கீர்த்தி - 162.4; 180.4 
கீழிட - 12.1 
கீழும் - 302.2 
கீழை - 272.4; 279.4 
குகையும் - 169.1 
குங்குமமும் - 138.2 
குச்சலர் - 115.31 
குஞ்சம் - 11.3 
குஞ்சரம் - 113.1 
குட்டத்து - 376.1 
குட்டியே - 313.4 
குடம் - 122.3; 208.1 
குடிக்கு - 72.4 
குடிகொளும் - 35.2 
குடிசை - 306.3 
குடித்தவர் - 317.2 
குடித்துப்போட்டு - 346.4 
குடுக்கை - 201.2 
குடுவையில் - 346.3 
குடை - 67.4 
குண்டல - 367.1 
குத்த - 389.1 
குத்தடா - 296.1; 389.2 
குத்தி - 253.2; 292.1; 303.4 
குத்தியில் - 346.3 
குத்தியே - 300.2 
குத்தினால் - 293.1; 294.1; 295.1 
குதட்டும் - 115.3 
குதி - 139.1 
குதிகொண்டு - 48.2 
குதித்து - 81.2; 315.3 
குதிரை - 13.2; 301.3 
குப்பியும் - 380.2 
கும்ப - 309.5 
கும்பகோணம் - 320.2 
கும்பமுனிக்கு - 315.3 
குமரி - 321.2; 326.3 
குமரிகட்கு - 340.1 
குமார - 274.4 
குமாரத்தியார் - 372.1 
குமாரன் - 307.1 
குமிழிலே - 379.1 
குமுறும் - 375.1 
குயில் - 69.1 
குயிலுகு - 322.1 
குயிலும் - 322.3 
குரங்கு - 135.1 
குரல் - 309.1 
குரலில் - 309.1 
குரவை - 14.1; 171.2 
குரு - 274.4 
குருகினம் - 266.4 
குருகினுக்குத் - 115.3 
குருகும் - 265.3; 300.1 
குருகூர் - 321.1 
குருகையூரார் - 380.2 
குருத்திடும் - 156.4 
குருத்தை - 369.1 
குருநாடு - 320.2 
குருபரனை - 407.2 
குருவி - 251.3; 252.1; 299.4; 310.4 
குருவிகள் - 254.2 
குல - 115.20; 223.5 
குலசேகரப்பட்டி - 277.2 
குலத்தில் - 149.1,1 
குலதெய்வத்தை - 210.2 
குலம் - 149.2; 181.2,2 
குலவித்தை - 198.2 
குலாவிய - 9.2 
குலாவுள்ள - 160.2 
குலாவே - 309.2 
குலுக்கும் - 115.23 
குலைந்த - 296.1 
குலையாதே - 388.2 
குழப்பிப்போட்டாய் - 230.2 
குழம்பு - 60.1 
குழல் - 14.1,4; 27.1; 41.1; 44.1; 66.2; 71.1; 121.1; 122.2; 153.2 
குழல்மொழி - 111.1 
குழல்மொழிக்கு - 62.1 
குழல்மொழிச்செல்வி - 119.4 
குழல்மொழிப்பெண் - 96.1 
குழல்மொழி_இடத்தார் - 223.1 
குழல்வாய்மொழி - 115.15; 158.4; 271.2; 303.1; 409.2; 410.1 
குழலார்க்கு - 155.1; 193.3; 356.1 
குழலாளே - 226.1 
குழலி - 309.3 
குழலில் - 116.1 
குழவி - 75.1 
குழு - 289.1 
குழை - 33.1; 41.1; 107.1; 120.3; 121.1; 257.1,1 
குழைகள் - 46.1 
குழைந்து - 40.3,3 
குளங்களும் - 277.2 
குளத்து - 279.4 
குளத்தூர் - 223.10 
குளமுடை - 272.2 
குளவி - 75.2 
குளிர் - 74.1 
குளிர்ச்சியால் - 59.4 
குளிர்ந்து - 90.1 
குளிரும் - 232.1 
குளுவ - 250.4; 252.4 
குளுவரில் - 260.2 
குளுவன் - 253.4 
குளுவனும் - 254.2; 256.4 
குளுவா - 287.1; 293.2; 294.2; 295.2; 296.2 
குற்றால - 101.2; 122.1; 132.2; 153.4; 175.2; 178.2; 223.11; 250.4; 269.2; 304.2; 326.4; 410.4 
குற்றாலச்சங்கு - 284.2 
குற்றாலத்து - 1.1; 274.1; 280.4; 338.2; 407.2 
குற்றாலநம்பி - 304.4 
குற்றாலநாதர் - 3.1; 32.1; 75.3; 91.2; 160.4; 192.1; 193.1; 275.1; 277.1; 278.3; 280.3; 348.1 
குற்றாலநாதரை - 394.1 
குற்றாலநாதன் - 282.3 
குற்றாலநாதனை - 279.3 
குற்றாலநாயகர் - 271.2 
குற்றாலப்பேரிச் - 274.1 
குற்றாலம் - 196.1; 397.2 
குற்றாலமலை - 126.2; 296.2,2 
குற்றாலர் - 71.4; 79.1; 87.1; 92.3; 104.1; 105.1; 181.1; 198.3; 217.1; 224.1; 273.4; 283.2; 286.1; 288.1; 299.1; 306.2; 312.1; 328.1; 366.1 
குற்றாலலிங்கர் - 128.1 
குற - 119.4; 120.4; 121.4; 126.2; 223.5 
குறட்டில் - 99.2 
குறத்தியை - 291.1 
குறவஞ்சி - 114.4; 115.41; 116.4; 117.1; 123.1; 128.2; 180.3; 193.2; 198.2; 217.3; 222.4; 229.1; 237.2; 242.2; 248.1; 249.3 
குறவர் - 149.2 
குறவன் - 251.4; 291.1 
குறவனும் - 255.4 
குறளி - 224.4 
குறளிவித்தை - 339.3 
குறி - 114.2; 115.29,37,37,38,39,39,39,39,41; 118.2; 194.1,3; 197.2,4; 210.1; 222.3; 223.31; 232.2; 238.1; 345.3 
குறிக்கா - 223.16 
குறிக்காகப் - 364.1 
குறிகள் - 125.2; 341.3 
குறிகளில் - 223.31 
குறிகளும் - 115.30 
குறிசொல்ல - 224.4; 225.1,2; 356.2,2 
குறிசொல்லவா - 211.1,1,1,2 
குறிசொல்லி - 119.3; 195.4; 196.4; 360.1 
குறிசொல்லிவந்தாய் - 230.1 
குறிசொல்வாயே - 198.4 
குறிஞ்சி - 153.1; 282.2 
குறித்தே - 150.2 
குறிமுகமோ - 239.2 
குறியாகிலும் - 199.1 
குறியிடம் - 391.2 
குறியின் - 193.4 
குறியே - 198.2 
குறியை - 217.4; 223.32; 230.2 
குறியோ - 223.28,30 
குறுக்கிட்டால் - 348.2 
