திருக்குற்றாலக் குறவஞ்சி சொல்லடைவு
வாதவூரான் - 6.4 
வாய் - 7.1 
வாழ்த்தி - 5.2 
விட்டு - 6.3 
வித்து - 3.3 
விருப்பமாக - 9.1 
விளையும் - 3.4 
வெளுப்பாம் - 7.3 
வேடனுக்கும் - 8.1 
வேண்டி - 6.1 
வேண்டிப் - 8.3 
வேண்டுவோமே - 3.4 
வேத - 8.1 
வேல் - 2.1 
நூல்
அ - 99.1 
அஃது - 89.3 
அக்காள் - 69.3 
அக்கினிக்கட்டு - 339.3 
அகங்காரம் - 92.2 
அகப்பட்ட - 291.2; 324.3 
அகப்பட்டால் - 302.4 
அகலம் - 335.1 
அகலாத - 406.1 
அகலாவே - 73.4 
அகில் - 138.2 
அகிலம் - 144.1 
அங்கணர் - 114.1; 319.1 
அங்கம் - 52.1; 332.4 
அங்கு - 42.2 
அசுரர் - 7.1 
அசைத்து - 329.1 
அசைய - 8.4; 114.3 
அஞ்சனம் - 330.2 
அஞ்சாமல் - 358.2,2 
அஞ்சு - 84.1; 118.2; 159.1 
அஞ்சுதலைக்கு - 84.2 
அஞ்செழுத்தார் - 255.1 
அடக்கிக் - 115.13,30 
அடக்கியே - 283.1 
அடக்கும் - 142.2 
அடங்க - 115.25,26,28 
அடங்கக் - 115.27 
அடங்கத் - 297.2 
அடங்கலும் - 13.3; 320.3 
அடங்கலுமே - 76.4 
அடங்கா - 250.4; 252.4; 254.2 
அடங்காத - 345.4 
அடங்காது - 345.3,3,4 
அடங்கார் - 283.1 
அடங்கி - 37.1 
அடங்கும் - 37.1 
அடர்ந்து - 42.4 
அடல் - 9.2 
அடி - 39.3,4; 44.1; 301.3,3 
அடிக்கும் - 253.4 
அடிக்கொரு - 317.3 
அடித்துப் - 255.3 
அடிபட்டு - 312.2 
அடியர் - 10.3 
அடியவர் - 315.4 
அடியார் - 410.4 
அடியில் - 80.4 
அடியேன் - 72.2 
அடுக்களை - 266.3 
அடுக்கு - 37.3 
அடுத்த - 8.3 
அடைக்காய் - 209.1 
அடைத்த - 10.3 
அடையாளம் - 332.4 
அண்ட - 115.13 
அண்டம் - 338.1 
அண்டர் - 7.1 
அண்ணலார் - 67.3; 338.2 
அணங்கு_அனையார் - 220.2 
அணி - 8.2; 28.3; 39.3; 42.3; 43.3; 74.1; 78.1; 212.1; 273.4; 405.1 
அணிந்து - 115.19 
அணிமணி - 366.2,2 
அணியார் - 255.1 
அணியை - 382.1 
அணிவகுக்கும் - 4.1 
அணிவார் - 347.2 
அணுகா - 139.2 
அணுகாத - 235.1 
அணுகாமல் - 50.2 
அணைத்து - 61.2 
அணைந்தால் - 319.1 
அணைய - 80.4 
அத்த - 214.1 
அத்தனையும் - 346.4 
அத்தாளநல்லூர் - 321.3 
அதிசயம் - 357.1; 378.1 
அது - 72.2; 171.1; 234.1; 392.1 
அதுகு - 330.4 
அதை - 67.1; 313.2; 329.1 
அந்த - 73.2; 128.4 
அந்தச் - 329.4 
அந்தத் - 63.1 
அந்தர - 128.1 
அந்தாதி - 280.4 
அந்நாளில் - 281.4 
அநுராக - 325.3 
அநேக - 159.1 
அப்பம் - 209.2 
அப்பனே - 223.7 
அப்பால் - 274.1; 285.4; 393.1 
அப்பாலும் - 278.1 
அப்பாலே - 314.1 
அப்பு - 382.1 
அப்பொழுது - 105.1 
அபரஞ்சி - 116.4; 118.1 
