முக்கூடற் பள்ளு சொல்லடைவு
அழகர் -- 1.4, 2.4, 3.4, 4.4, 5.2, 7.3, 11.1, 12.3, 13.7, 14.7, 15.3, 19.4, 23.4, 29.2, 30.4, 33.4, 36.7, 50.7, 55.3, 58.4, 59.4, 60.4, 66.1, 67.3, 71.1, 74.1, 80.1, 81.3, 82.5,5, 88.4, 92.2, 94.4, 102.3, 110.1, 112.3, 117.8, 124.1, 125.5, 127.1, 128.3, 129.3, 131.2, 132.2, 133.2, 134.2, 174.3, 175.3 
அழகர்க்கு -- 35.7, 73.1 
அழகர்படி -- 28.1 
அழகர்--தம் -- 113.5 
அழகராச்சிப் -- 92.11 
அழகருக்கு -- 87.7 
அழகருக்கும் -- 9.1 
அழகருடன் -- 111.1 
அழகரும் -- 85.7 
அழகனார் -- 40.7, 130.1 
அழகி -- 126.5 
அழகில் -- 82.3,3 
அழகு -- 7.4, 40.7 
அழகும் -- 8.7 
அழித்து -- 67.3 
அழியாத -- 94.4 
அழியுமோ -- 94.4 
அழைத்த -- 81.2 
அளக்கும் -- 141.1 
அளந்த -- 140.2 
அளந்திடா -- 123.2 
அளந்தேன் -- 142.2, 143.2, 144.2, 145.2, 146.2, 147.2 
அளப்பார் -- 138.8, 139.4,7 
அளவில் -- 115.7 
அளாவி -- 26.3 
அளிப்பார் -- 135.1 
அளிப்பான் -- 89.3 
அளைய -- 82.1 
அளையில் -- 82.1 
அற்றான் -- 86.6 
அறிக்கைசெய்து -- 124.3 
அறிய -- 3.3, 110.8 
அறியான் -- 151.2 
அறியீர் -- 85.6 
அறியும் -- 83.6 
அறியேன் -- 60.3 
அறியேனோ -- 101.1 
அறிவார் -- 59.4 
அறிவீர் -- 67.1, 148.1 
அறிவேன் -- 69.4 
அறு -- 3.5, 132.3 
அறுகம் -- 132.7 
அறுப்பேன் -- 157.4 
அன்றியும் -- 147.1 
அன்றில் -- 47.4 
அன்று -- 164.3, 166.1, 167.2, 175.2 
அன்றே -- 15.4 
அன்றோ -- 37.2, 58.3 
அன்னம்பாலி -- 126.7 
அனகன் -- 74.1 
அனம் -- 19.2 
அனல் -- 49.3 
அனாதி -- 23.4 
அனுப்பினான் -- 96.3 
அனை -- 175.1 
அனைத்துமே -- 46.4 
அனைய -- 40.8 
ஆக்காதே -- 95.3 
ஆக்கி -- 44.7 
ஆக்கித் -- 11.7 
ஆக்கிவைத்தானாம் -- 96.2 
ஆக -- 1.4 
ஆகாதது -- 153.3 
ஆகாதே -- 45.4 
ஆகாதோ -- 12.2 
ஆகானோ -- 160.2 
ஆகி -- 38.6,6 
ஆச்சு -- 59.2, 69.1 
ஆச்சே -- 105.1 
ஆசூர் -- 5.2, 17.4, 21.4, 25.4, 37.2 
ஆசை -- 129.5 
ஆசைதான் -- 151.1 
ஆசைப்பட்ட -- 158.2 
ஆசைப்பட்டே -- 14.6 
ஆசைப்பட -- 2.3 
ஆசைபட்டு -- 164.1 
ஆசையால் -- 133.6 
ஆசைவலையையும் -- 87.2 
ஆட்கொள்ளும் -- 88.6 
ஆட்டத்தை -- 56.1 
ஆட்டினில் -- 85.2 
ஆட்டு -- 82.8 
ஆட்டுப் -- 79.1 
ஆட்டெழுங்கால் -- 127.3 
ஆட்டை -- 83.1,5 
ஆட்பட்டு -- 9.1 
ஆடல் -- 2.7, 131.1 
ஆடவர் -- 18.2 
ஆடவேண்டாம் -- 157.3 
ஆடி -- 105.1, 142.1 
ஆடிப்பாடி -- 35.8, 129.4 
ஆடிப்பாடுவோமே -- 174.4 
ஆடிய -- 174.3 
ஆடீர் -- 36.8 
ஆடு -- 75.3, 76.2, 77.2, 78.1 
ஆடுதே -- 35.6 
ஆடுவைத்துத் -- 93.1 
ஆண்டது -- 83.3 
ஆண்டவர் -- 91.1, 102.4, 107.3 
ஆண்டவர்க்கு -- 80.1 
ஆண்டவனார் -- 76.3, 84.3, 124.3 
ஆண்டே -- 11.8, 13.8, 14.8, 15.8, 56.4, 57.4, 59.4, 60.4, 67.4, 68.4, 69.4, 70.4, 71.4, 72.4, 73.4, 74.4, 77.2, 78.2, 79.2, 80.2, 85.8, 86.8, 87.8, 88.8, 89.8, 90.8, 92.16, 96.4, 103.1,2,3,4, 104.1,2,3,4, 105.1,2,3,4, 106.1,2,3,4, 109.8, 110.8, 111.8, 141.1, 148.2, 150.1,2,3,4,5,6 
ஆண்டையை -- 101.4, 123.2 
ஆணுக்கும் -- 73.4 
ஆணை -- 14.1, 101.3,3,3 
ஆதாயமும் -- 140.2 
ஆதி -- 9.1, 75.3, 167.2 
ஆதிக்கோன் -- 83.7 
ஆதிநாதர் -- 23.4 
ஆதியர் -- 1.1 
ஆந்தை -- 150.1 
ஆந்தைக்குளமும் -- 92.14 
ஆமக்களை -- 156.2 
ஆமே -- 9.4, 60.2, 99.2 
ஆமோ -- 100.2, 127.2 
ஆயர் -- 76.4 
ஆயிரம் -- 111.4,6, 143.1, 144.1, 145.1 
ஆயிரம்தான் -- 109.8 
ஆயிரமல்லியன் -- 71.2 
ஆயும் -- 46.7 
ஆர் -- 55.1,3, 105.2, 117.7 
ஆரடி -- 156.2 
ஆரத்தன -- 2.3 
ஆரம் -- 40.4,4 
ஆரால் -- 51.4 
ஆருக்கும் -- 88.1 
ஆரும் -- 112.3, 171.3 
ஆல் -- 82.5 
ஆலி -- 126.3 
ஆலை -- 24.1 
ஆவலன் -- 3.3 
ஆவலினாலே -- 5.2 
ஆழ்வானை -- 68.3 
ஆழி -- 175.3 
ஆழிக்கு -- 2.4 
ஆளார் -- 85.7 
ஆளை -- 115.4 
ஆற்ற -- 58.4 
ஆற்றமாட்டாமல் -- 169.1 
ஆற்றி -- 138.8 
ஆற்று -- 35.1, 130.2 
ஆற்றுக்காலாட்டிய -- 127.3 
ஆறாயிரம் -- 142.1 
ஆறு -- 41.1,2,3,4, 52.1 
ஆறும் -- 90.5 
ஆறை -- 74.1 
ஆன -- 13.7 
ஆனாண்டே -- 108.4 
ஆனேன் -- 49.3 
ஆனேனே -- 47.2 
ஆனை -- 89.1, 98.3 
இகரை -- 36.1 
இகழவே -- 48.4 
இங்கு -- 153.4 
இங்கும் -- 130.7 
இங்கே -- 103.2 
இங்ங்கே -- 87.6 
இசை -- 1.4, 2.4, 5.3, 55.3 
இசைக்கே -- 2.4 
இசையாத -- 61.3 
இசையும் -- 130.6 
இஞ்சியின் -- 26.1 
இஞ்சியும் -- 26.2 
இட்டமலை -- 146.2 
இட்டாலும் -- 94.3 
இட்டு -- 32.2, 94.2 
இட்டெடுத்தான் -- 89.2 
இட -- 111.8 
இடும் -- 6.1, 36.5 
இடும்போ -- 117.7 
இடுவார் -- 105.2 
இடை -- 128.7, 136.4 
இடைக்கிடை -- 6.7 
இடையரை -- 84.1 
இடையனை -- 75.4 
இடையில் -- 48.2 
இணங்கு -- 136.3 
இணை -- 8.5, 105.3, 128.6 
இணையாமோடி -- 156.4 
இணையில்லை -- 47.2 
இத்தனை -- 13.3, 140.2, 173.4 
இதழ் -- 175.1 
இதழும் -- 6.4 
இதழை -- 129.7 
இது -- 47.4, 56.4, 128.4, 147.1 
இதுவும் -- 118.5 
இதே -- 55.3 
இந்த -- 88.3, 101.1, 104.1, 109.7, 110.5, 117.1, 173.3 
இந்தப்படி -- 111.7 
இந்திரசித்து -- 111.2 
இந்திரன் -- 38.1 
இந்நிலத்தில் -- 52.1 
இப்பால் -- 60.4, 128.8 
இம்மட்டும் -- 151.8 
இயல்பாய் -- 110.7 
இயல்பு -- 27.2 
இரங்கல்மீட்டான் -- 108.3 
இரங்கிநிற்கும் -- 119.1 
இரண்டானாலும் -- 97.1 
இரண்டு -- 67.2, 70.1 
இரண்டுபடில் -- 58.2 
இரண்டும் -- 8.3 
இரந்தும் -- 169.1 
இரவில் -- 45.2 
இரவு -- 41.4 
இரா -- 59.4 
இராசவாணனை -- 70.1 
இராத்திரி -- 74.4 
இராமர் -- 69.1 
இரியவே -- 48.2 
இரு -- 6.5, 11.7, 12.1, 30.1,1, 86.7, 108.4, 119.1 
இருக்க -- 162.1 
இருக்கிறேன் -- 60.4 
இருந்த -- 128.8 
இருந்தது -- 74.3 
இருந்துமே -- 171.1 
இருப்பது -- 110.7 
இருப்பும் -- 66.4 
இருப்பை -- 42.2 
இருபேரில் -- 2.1 
இரும்பும் -- 7.2, 23.1 
இருவ -- 134.5 
இருவி -- 126.1 
இருள் -- 18.1 
இல்லாத -- 71.4 
இல்லாமல் -- 154.1, 162.3, 168.1, 169.3, 170.3 
இல்லாமையினால் -- 170.1 
இல்லான் -- 86.2 
இல்லை -- 44.3, 56.3, 59.4, 67.2, 90.4,4 
இல்லையோ -- 173.2,4 
இலக்கு -- 104.3 
இலகும் -- 3.7 
இலங்க -- 8.6 
இலங்கத் -- 6.7 
இலங்காபுரியில் -- 111.1 
இலங்கும் -- 130.6 
இலங்கை -- 67.3 
இவ்வாறு -- 119.1 
இவளாம் -- 87.5 
இவளை -- 45.2 
இவன் -- 88.3, 132.6 
இழுக்கிறான் -- 134.8 
இள -- 23.3 
