கபிலர் அகவல் சொல்லடைவு
தியம்புவன்கேண்மின் - 9.9 
திருவும்வறுமையுஞ் - 11.8 
தீயாரென்னான் - 4.7 
தீவினைமுதிதோ - 1.4 
துஞ்சாதோ - 1.9 
துஞ்சும்போதந்த - 2.1 
துஞ்சுமோ - 1.9 
துடலோவுயிரோ - 2.5 
துள்ளுவரிடத்தில் - 10.9 
துன்புருநாளுஞ் - 3.3 
தென்றிசைக்கேகின் - 8.6 
தென்றிசைப்புலையன் - 8.4 
தொண்டைமண்டலத்தில் - 10.7 
தொல்லைமாஞாலந் - 1.6 
தோற்றமோ - 1.6 
நஞ்சுறுதீவினை - 1.9 
நடையதுகோணி - 8.7 
நண்ணிடுஞ்சேரியில் - 10.3 
நமனுடைமுறைநாள் - 4.1 
நரப்புக்கருவியோர் - 10.3 
நல்குரவறியான் - 4.6 
நல்லாரென்னான் - 4.6 
நல்வினைமுதிதோ - 1.4 
நன்றேசெய்யவும்வேண்டும் - 3.7 
நாக்கடிப்பாக - 2.7 
நாட்டில்நீர்நாட்டினீர் - 6.10 
நாண்முதிதோ - 1.4 
நால்வகைச்சாதியிந் - 6.10 
நாளைநம்முடைமுறைநாள் - 3.11 
நாளைநாளைஎன்பீராகில் - 3.10 
நான்முகன் - 1.1 
நானாவகையுலகில் - 1.1 
நிலைபெறவறத்தில் - 12.5 
நிற்பதையறிந்து - 12.5 
நீக்கிவீசுமோ - 11.3 
நீணான்குசாதி - 11.6 
நீளாண்மைக்கொளும் - 10.8 
நூறல்லதில்லை - 2.9 
பகவர்வதுகேண்மின் - 5.11 
பஞ்சேந்திரியம் - 2.1 
படைத்த - 1.1 
படைப்போ - 1.6 
பராசரருக்குமீன்வாணிச்சி - 8.12 
பலபடவுரைத்தே - 6.1 
பழுதறவோதி - 8.5 
பற்பலநாட்டிலும் - 6.8 
பாணரகந்தனில் - 10.4 
பார்ப்பனமாந்தர்காள் - 5.11 
பார்ப்பாரிலையால் - 6.8 
பார்ப்பானாவான் - 8.5 
பாரூர்நீர்நாட் - 10.12 
